会社名,書類名,docID,証券コード,ＥＤＩＮＥＴコード,決算期,提出日,提出者業種
ピープル株式会社,有価証券報告書－第45期(令和3年1月21日－令和4年1月20日),S100NW70,78650,E02882,2022-01-20,2022-04-14,その他製品
株式会社タカショー,有価証券報告書－第42期(令和3年1月21日－令和4年1月20日),S100NVPA,75900,E02888,2022-01-20,2022-04-15,卸売業
ダイドーグループホールディングス株式会社,有価証券報告書－第47期(令和3年1月21日－令和4年1月20日),S100NWQE,25900,E00424,2022-01-20,2022-04-18,食料品
株式会社トーホー,有価証券報告書－第69期(令和3年2月1日－令和4年1月31日),S100NXCA,81420,E02665,2022-01-31,2022-04-20,卸売業
株式会社アルトナー,有価証券報告書－第60期(令和3年2月1日－令和4年1月31日),S100NXHQ,21630,E05717,2022-01-31,2022-04-21,サービス業
株式会社ＡＣＣＥＳＳ,有価証券報告書－第38期(令和3年2月1日－令和4年1月31日),S100NXGF,48130,E05168,2022-01-31,2022-04-21,情報・通信業
株式会社イムラ封筒,有価証券報告書－第72期(令和3年2月1日－令和4年1月31日),S100NXN2,39550,E00688,2022-01-31,2022-04-22,パルプ・紙
オーエス株式会社,有価証券報告書－第104期(令和3年2月1日－令和4年1月31日),S100NXFG,96370,E04593,2022-01-31,2022-04-22,内国法人・組合（有価証券報告書等の提出義務者以外）
ポールトゥウィン・ピットクルーホールディングス株式会社,有価証券報告書－第13期(令和3年2月1日－令和4年1月31日),S100NXSD,36570,E25898,2022-01-31,2022-04-22,情報・通信業
株式会社Ｍマート,有価証券報告書－第22期(令和3年2月1日－令和4年1月31日),S100NXKL,43800,E33784,2022-01-31,2022-04-22,情報・通信業
株式会社シーイーシー,有価証券報告書－第54期(令和3年2月1日－令和4年1月31日),S100NXK9,96920,E04853,2022-01-31,2022-04-22,情報・通信業
クロスプラス株式会社,有価証券報告書－第69期(令和3年2月1日－令和4年1月31日),S100NXUT,33200,E02967,2022-01-31,2022-04-25,卸売業
株式会社三井ハイテック,有価証券報告書－第88期(令和3年2月1日－令和4年1月31日),S100NXLH,69660,E02293,2022-01-31,2022-04-25,電気機器
太洋基礎工業株式会社,有価証券報告書－第55期(令和3年2月1日－令和4年1月31日),S100NXQ7,17580,E00287,2022-01-31,2022-04-25,建設業
株式会社光・彩,有価証券報告書－第55期(令和3年2月1日－令和4年1月31日),S100NY2T,78780,E02439,2022-01-31,2022-04-25,その他製品
株式会社鎌倉新書,有価証券報告書－第38期(令和3年2月1日－令和4年1月31日),S100NY2C,61840,E31871,2022-01-31,2022-04-25,サービス業
株式会社バリューゴルフ,有価証券報告書－第18期(令和3年2月1日－令和4年1月31日),S100NXW9,39310,E32108,2022-01-31,2022-04-25,情報・通信業
三原京覧開発　株式会社,有価証券報告書－第49期(令和3年2月1日－令和4年1月31日),S100NY6G,,E04676,2022-01-31,2022-04-26,サービス業
備後観光開発株式会社,有価証券報告書－第49期(令和3年2月1日－令和4年1月31日),S100NY3Y,,E04672,2022-01-31,2022-04-26,サービス業
スバル興業株式会社,有価証券報告書－第108期(令和3年2月1日－令和4年1月31日),S100NYAH,96320,E04599,2022-01-31,2022-04-26,サービス業
株式会社丹青社,有価証券報告書－第64期(令和3年2月1日－令和4年1月31日),S100NXXX,97430,E00208,2022-01-31,2022-04-26,サービス業
Ｍｉｋａｔｕｓ株式会社,有価証券報告書－第13期(令和3年2月1日－令和4年1月31日),S100NXZC,,E24479,2022-01-31,2022-04-26,サービス業
株式会社アピリッツ,有価証券報告書－第22期(令和3年2月1日－令和4年1月31日),S100NY5H,41740,E36213,2022-01-31,2022-04-26,情報・通信業
株式会社アールプランナー,有価証券報告書－第19期(令和3年2月1日－令和4年1月31日),S100NXS7,29830,E35144,2022-01-31,2022-04-26,不動産業
株式会社きんえい,有価証券報告書－第125期(令和3年2月1日－令和4年1月31日),S100NX7D,96360,E04592,2022-01-31,2022-04-26,サービス業
菱洋エレクトロ株式会社,有価証券報告書－第62期(令和3年2月1日－令和4年1月31日),S100NY2Z,80680,E02685,2022-01-31,2022-04-26,卸売業
株式会社石井表記,有価証券報告書－第49期(令和3年2月1日－令和4年1月31日),S100NYHI,63360,E02047,2022-01-31,2022-04-27,機械
株式会社福岡カンツリー倶楽部,有価証券報告書－第71期(令和3年2月1日－令和4年1月31日),S100NYCK,,E04647,2022-01-31,2022-04-27,サービス業
株式会社ストリーム,有価証券報告書－第23期(令和3年2月1日－令和4年1月31日),S100NYHZ,30710,E03506,2022-01-31,2022-04-27,小売業
積水ハウス株式会社,有価証券報告書－第71期(令和3年2月1日－令和4年1月31日),S100NXTE,19280,E00143,2022-01-31,2022-04-27,建設業
不二電機工業株式会社,有価証券報告書－第64期(令和3年2月1日－令和4年1月31日),S100NY5L,66540,E02007,2022-01-31,2022-04-27,電気機器
モロゾフ株式会社,有価証券報告書－第92期(令和3年2月1日－令和4年1月31日),S100NYGX,22170,E00381,2022-01-31,2022-04-27,食料品
株式会社ユークス,有価証券報告書－第30期(令和3年2月1日－令和4年1月31日),S100NXZ3,43340,E05254,2022-01-31,2022-04-27,情報・通信業
株式会社可児ゴルフ倶楽部,有価証券報告書－第49期(令和3年2月1日－令和4年1月31日),S100NYLE,,E04671,2022-01-31,2022-04-27,サービス業
株式会社ＳＫＩＹＡＫＩ,有価証券報告書－第19期(令和3年2月1日－令和4年1月31日),S100NYKP,39950,E33294,2022-01-31,2022-04-27,情報・通信業
株式会社精養軒,有価証券報告書－第158期(令和3年2月1日－令和4年1月31日),S100NY07,97340,E04763,2022-01-31,2022-04-27,サービス業
ミライアル株式会社,有価証券報告書－第54期(令和3年2月1日－令和4年1月31日),S100NYOE,42380,E02477,2022-01-31,2022-04-27,化学
株式会社ＴＯＫＹＯ　ＢＡＳＥ,有価証券報告書－第14期(令和3年3月1日－令和4年1月31日),S100NYOL,34150,E31742,2022-01-31,2022-04-27,小売業
トミタ電機株式会社,有価証券報告書－第71期(令和3年2月1日－令和4年1月31日),S100NY4X,68980,E02016,2022-01-31,2022-04-27,電気機器
サンバイオ株式会社,有価証券報告書－第9期(令和3年2月1日－令和4年1月31日),S100NYCJ,45920,E31382,2022-01-31,2022-04-27,医薬品
株式会社ジェイック,有価証券報告書－第31期(令和3年2月1日－令和4年1月31日),S100NYPF,70730,E35187,2022-01-31,2022-04-27,サービス業
株式会社アマガサ,有価証券報告書－第32期(令和3年2月1日－令和4年1月31日),S100NYGW,30700,E03004,2022-01-31,2022-04-27,卸売業
株式会社ネオジャパン,有価証券報告書－第30期(令和3年2月1日－令和4年1月31日),S100NYDZ,39210,E31902,2022-01-31,2022-04-27,情報・通信業
アセンテック株式会社,有価証券報告書－第14期(令和3年2月1日－令和4年1月31日),S100NYQ0,35650,E33109,2022-01-31,2022-04-27,卸売業
株式会社トラース・オン・プロダクト,有価証券報告書－第28期(令和3年2月1日－令和4年1月31日),S100NYPY,66960,E33323,2022-01-31,2022-04-27,電気機器
